,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300,1.0,0.05077999999999998,-0.24716,5
2020-11-13,11.36,11.55,11.0,11.01,11.01,3535900,1.0,0.5872,0.0,3
2020-11-14,11.36,11.55,11.0,11.01,11.01,3535900,1.0,0.36755,0.0,2
2020-11-15,11.36,11.55,11.0,11.01,11.01,3535900,19.0,0.7118200000000001,0.07782,5
2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800,19.4,0.26958000000000004,-0.11644000000000002,5
2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200,52.0,0.15859999999999996,0.14133333333333334,3
2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200,12.0,-0.25680000000000003,-0.1858,3
2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600,4.75,0.42295,0.179375,4
2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400,1.0,0.002999999999999995,0.028471428571428564,14
2020-11-21,12.55,13.46,12.54,12.71,12.71,8395400,1.0,0.4277285714285714,-0.04982857142857142,7
2020-11-22,12.55,13.46,12.54,12.71,12.71,8395400,1.0,-0.8018000000000001,0.0,4
2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100,1.0,0.584775,-0.04265000000000001,4
2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200,1.0,0.17328888888888885,0.04395555555555555,9
2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100,1.0,0.25116666666666665,0.08593333333333332,12
2020-11-26,13.6,15.25,13.42,14.75,14.75,8860100,1.0,0.47065555555555555,0.0753777777777778,18
2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200,1.0277777777777777,0.20174722222222222,0.08234166666666667,36
2020-11-28,15.29,16.74,14.88,16.08,16.08,12504200,1.0,0.30901929824561397,0.02418245614035087,57
2020-11-29,15.29,16.74,14.88,16.08,16.08,12504200,1.0,0.16576056338028172,-0.05026901408450705,71
2020-11-30,18.17,19.42,16.559999,16.559999,16.559999,31983500,1.0142857142857142,0.21506785714285717,0.02204857142857143,140
2020-12-01,17.110001,17.4,15.76,15.8,15.8,12666000,1.0333333333333334,0.08494888888888891,-0.03400444444444445,90
2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400,1.0,0.2538673913043478,0.04703260869565217,46
2020-12-03,16.48,16.639999,15.87,16.120001,16.120001,6295000,1.0,0.33720588235294124,0.040647058823529404,17
2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700,2.88,0.336708,0.04198,25
2020-12-05,16.299999,17.290001,16.26,16.9,16.9,8972700,3.4375,0.59954375,0.06904375,16
2020-12-06,16.299999,17.290001,16.26,16.9,16.9,8972700,1.0,0.2151411764705882,0.03614117647058824,17
2020-12-07,17.0,17.5,16.219999,16.35,16.35,7386300,1.0,0.330555,0.0037150000000000043,20
2020-12-08,16.370001,17.209999,15.93,16.940001,16.940001,16120200,1.0,0.3352875,0.057081250000000014,32
2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900,1.0,0.1920133333333333,-0.01329555555555555,45
2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900,1.0,0.33914285714285713,0.10347857142857143,14
2020-12-11,13.91,14.0,13.02,13.31,13.31,7496900,1.0,0.44454999999999995,0.00760714285714286,14
2020-12-12,13.91,14.0,13.02,13.31,13.31,7496900,1.0,-0.161875,0.132325,8
2020-12-13,13.91,14.0,13.02,13.31,13.31,7496900,1.0,0.49551249999999997,0.0389375,8
2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100,1.0,0.5501923076923078,0.07149230769230769,13
2020-12-15,12.78,14.02,12.48,13.85,13.85,8192900,1.0,0.3669,0.15854545454545454,11
2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100,1.0,0.52046,0.05907,10
2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900,0.5,0.9922500000000001,0.20095,2
2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800,49.25,-0.484325,0.322875,4
2020-12-19,15.78,16.299999,15.18,15.63,15.63,16618800,9.0,6.666666666665932e-05,-0.12726666666666667,3
2020-12-20,15.78,16.299999,15.18,15.63,15.63,16618800,1.0,0.2611571428571429,-0.07258571428571428,7
2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100,1.0,0.607,0.014366666666666661,15
2020-12-22,16.219999,20.040001,16.15,19.459999,19.459999,30652700,1.0,0.26485652173913043,0.021821739130434784,23
2020-12-23,20.17,22.35,19.129999,20.57,20.57,25830300,1.0,0.4107867924528302,-0.005107547169811323,53
2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200,1.0196078431372548,0.34496274509803926,0.049835294117647054,51
2020-12-25,21.01,21.48,19.950001,20.15,20.15,6262200,1.0,0.5464703703703705,0.07221481481481482,27
2020-12-26,21.01,21.48,19.950001,20.15,20.15,6262200,1.0,0.5385516129032257,0.08975806451612903,31
2020-12-27,21.01,21.48,19.950001,20.15,20.15,6262200,0.972972972972973,0.14179459459459456,-0.030394594594594603,37
2020-12-28,21.309999,21.969999,20.35,20.99,20.99,8965900,1.0,0.15679056603773586,0.11057924528301889,53
2020-12-29,20.82,21.07,18.559999,19.379999,19.379999,9241400,1.0161290322580645,0.3769354838709677,0.006812903225806451,62
2020-12-30,19.379999,20.0,18.85,19.26,19.26,5934400,1.0,0.4875965517241379,-0.05794482758620689,29
2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6918900,1.0,0.158913559322034,0.12574915254237287,59
2021-01-01,19.25,19.799999,18.799999,18.84,18.84,6918900,1.0,0.40219333333333324,-0.03016666666666667,30
2021-01-02,19.25,19.799999,18.799999,18.84,18.84,6918900,1.0,0.38131666666666664,0.03287222222222222,18
2021-01-03,19.25,19.799999,18.799999,18.84,18.84,6918900,1.0,0.5911333333333333,0.07396666666666668,15
2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500,1.0,0.17972173913043477,0.04175217391304348,23
2021-01-05,17.35,18.08,17.23,17.370001,17.370001,4961500,1.0,0.45705882352941174,-0.039200000000000006,17
2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200,3.0625,0.39718124999999993,0.034975,16
